venue,distance_from_closest_airport,capacity,city,website,phone,address
The Prado at Balboa Park,3.1,500,San Diego,https://www.balboaparkweddings.com/,(619) 557-9441,1549 El Prado, San Diego, CA 92101
Hilton San Diego Bayfront,4.1,1500,San Diego,https://www.hilton.com/en/hotels/san-dhbf-hilton-san-diego-bayfront/,(619) 564-3333,1 Park Blvd, San Diego, CA 92101
The US Grant Hotel,3.2,900,San Diego,https://www.usgrant.net/,(619) 232-3121,326 Broadway, San Diego, CA 92101
Paradise Point Resort & Spa,7.9,1000,San Diego,https://paradisepoint.com/,(858) 240-4913,1404 Vacation Rd, San Diego, CA 92109
Manchester Grand Hyatt San Diego,3.2,1200,San Diego,https://www.hyatt.com/en-US/hotel/california/manchester-grand-hyatt-san-diego/sanrs,(619) 232-1234,1 Market Pl, San Diego, CA 92101
Vibiana,18.4,550,Los Angeles,https://vibiana.com/,(213) 626-1507,214 S Main St, Los Angeles, CA 90012
Millennium Biltmore Hotel,17.9,1000,Los Angeles,https://www.millenniumhotels.com/en/los-angeles/millennium-biltmore-hotel-los-angeles/,(213) 624-1011,506 S Grand Ave, Los Angeles, CA 90071
Taglyan Complex,23.5,500,Los Angeles,https://www.taglyancomplex.com/,(323) 978-0005,1201 Vine St, Los Angeles, CA 90038
Skirball Cultural Center,15.8,600,Los Angeles,https://www.skirball.org/,(310) 440-4500,2701 N Sepulveda Blvd, Los Angeles, CA 90049
The Ebell of Los Angeles,15.9,700,Los Angeles,https://ebellofla.com/,(323) 931-1277,743 S Lucerne Blvd, Los Angeles, CA 90005
Flood Mansion,14.2,350+,San Francisco,,,(2222 Broadway, San Francisco, CA 94115)
The General's Residence,14.7,350+,San Francisco,,,(1 Fort Mason, San Francisco, CA 94109)
The Green Room,12.6,350+,San Francisco,,,(401 Van Ness Ave, San Francisco, CA 94102)
Golden Gate Club at The Presidio,16.3,350+,San Francisco,,,(135 Fisher Loop, San Francisco, CA 94129)
Terra Gallery & Event Venue,12.6,350+,San Francisco,,,(511 Harrison St, San Francisco, CA 94105)
Officers' Club at The Presidio,16.0,350+,San Francisco,,,(50 Moraga Ave, San Francisco, CA 94129)
The Pearl,10.9,350+,San Francisco,,,(601 19th St, San Francisco, CA 94107)
The Box SF,12.1,350+,San Francisco,,,(1069 Howard St, San Francisco, CA 94103)
Bella Verdi at Rancho Solano,47.8,350+,Fairfield,https://fairfieldgolf.com/bella-verdi-bistro/,(707) 434-1160,3250 Rancho Solano Pkwy, Fairfield, CA 94534
Churchill Manor,50.3,350+,Napa,https://churchillmanor.com/,(707) 253-7733,485 Brown St, Napa, CA 94559
The Barn at Green Valley,53.2,350+,Fairfield,http://www.thebarnatgreenvalley.com/,(707) 480-6109,4075 Green Valley Rd, Fairfield, CA 94534
Beaulieu Garden,64.7,350+,Rutherford,http://www.beaulieugarden.com/,(510) 547-7825,1901 St Helena Hwy, Rutherford, CA 94573
Garden Valley Ranch,63.6,350+,Petaluma,http://www.gardenvalley.com/,(707) 795-0919,498 Pepper Rd, Petaluma, CA 94952
Topknot Weddings, Events & Taproom At Paradise Valley,43.0,350+,Fairfield,https://fairfieldgolf.com/top-knot-taproom/,(707) 421-2234,3990 Paradise Valley Dr, Fairfield, CA 94533
